entry_id,decision_pos,decision_reason,reviewer,status
WB000009,noun,【名】タグと意味一致,post_audit,done
WB000036,noun,【名】タグと意味一致,post_audit,done
WB000069,adverb,【副】タグと意味一致,post_audit,done
WB001793,noun,【名】タグと意味一致,post_audit,done
WB001937,noun,【名】タグと意味一致,post_audit,done
WB001954,noun,【名】タグと意味一致,post_audit,done
WB001996,noun,【名】タグと意味一致,post_audit,done
WB002155,adjective,【形】タグと意味一致,post_audit,done
WB002442,adjective,【形】タグと意味一致,post_audit,done
WB002647,adjective,【形】タグと意味一致,post_audit,done
WB002922,noun,【名】タグと意味一致,post_audit,done
WB002942,noun,【名】タグと意味一致,post_audit,done
WB002949,noun,【名】タグと意味一致,post_audit,done
WB002977,adjective,【形】タグと意味一致,post_audit,done
WB003007,noun,【名】タグと意味一致,post_audit,done
WB006471,noun,【名】タグと意味一致,post_audit,done
WB007369,noun,【名】タグと意味一致,post_audit,done
WB001191,noun,意味本文が名詞（タグ混在ノイズ補正）,post_audit,done
