batch_id,batch_seq,entry_id,headword,headword_norm,meaning_ja_short,pos_current,pos_label_ja,pos_secondary,pos_candidates,pos_confidence,pos_score_margin,is_multi_pos,pos_evidence,stage,stage_label,grade_bucket_default_label,grade_bucket_standard_label,source_count,source_books,review_priority,review_score,review_reason,jp_hint_pos,jp_hint_pos_label_ja,suggested_pos_auto,suggested_pos_auto_label_ja,suggested_reason,decision_pos,decision_pos_label_ja,decision_reason,reviewer,status,prefill_rule,is_prefilled,global_rank
BATCH_10,10,WB006987,propaganda,propaganda,宣伝,noun,名詞,,noun:2,45,88.67,False,fallback_noun,3,HS_Core,高1完了(速習),高2標準(標準),2,ユメタン青 | 英検 1級 でる順パス単 5訂版,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,2332
BATCH_10,10,WB007060,prophet,prophet,預言者,noun,名詞,,noun:2,45,88.67,False,fallback_noun,3,HS_Core,高1完了(速習),高1基礎(標準),2,システム英単語 5訂版 | 鉄緑会 東大英単語熟語 鉄壁,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,2333
BATCH_10,10,WB006996,provided,provided,もし～なら,noun,名詞,,noun:2,45,88.67,False,fallback_noun,3,HS_Core,高1完了(速習),高2標準(標準),2,コーパス4500 4th Edition | 英単語Stock4500,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,2334
BATCH_10,10,WB006999,pursuit,pursuit,仕事、追跡、追求,noun,名詞,,noun:2,45,92.5,False,fallback_noun,3,HS_Core,高1完了(速習),高1基礎(標準),2,ユメタン青 | 速読英単語 必修編,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,2335
BATCH_10,10,WB007068,résumé,r sum,履歴書,noun,名詞,,noun:2,45,88.67,False,fallback_noun,3,HS_Core,高1完了(速習),高2標準(標準),2,TOEIC Gold Phrases 金のフレーズ | 英単語Stock4500,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,2336
BATCH_10,10,WB007077,reef,reef,(岩や砂の）礁；暗礁,noun,名詞,,noun:2,45,92.5,False,fallback_noun,3,HS_Core,高1完了(速習),高1基礎(標準),2,英単語ターゲット1900 6訂版 | 速読英単語 必修編,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,2337
BATCH_10,10,WB007104,rein,rein,手綱、支配,noun,名詞,,noun:2,45,88.67,False,fallback_noun,3,HS_Core,高1完了(速習),高2標準(標準),2,英単語Stock4500 | 英検 1級 でる順パス単 5訂版,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,2338
BATCH_10,10,WB007102,restructuring,restructuring,事業の再構築，構造改革,noun,名詞,,noun:2,45,88.67,False,fallback_noun,3,HS_Core,高1完了(速習),高1基礎(標準),2,DUO3.0 | 話題別英単語リンガメタリカ,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,2339
BATCH_10,10,WB007099,round-trip,round-trip,往復の,noun,名詞,,noun:2,45,92.5,False,fallback_noun,3,HS_Core,高1完了(速習),高1基礎(標準),2,DUO3.0 | 英単語Stock4500,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,動詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,2340
BATCH_10,10,WB007187,saliva,saliva,唾液,noun,名詞,,noun:2,45,88.67,False,fallback_noun,3,HS_Core,高1完了(速習),高2標準(標準),2,TOEFLテスト英単語3800 | 英単語Stock4500,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,2341
