entry_id,decision_pos,decision_reason,reviewer,status
WB000198,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000201,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000004,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000266,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000453,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB002325,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001156,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000587,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001267,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000589,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001562,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001266,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000588,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000608,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001270,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000609,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001178,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000685,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001278,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB002494,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001192,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001187,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000687,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000699,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001569,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB002505,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000753,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000754,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001571,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000925,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB000903,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001008,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001009,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001301,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001007,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001304,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001086,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001309,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001105,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB001106,function,post_audit_pronoun_determiner_function,post_audit_v2,done
WB009635,adjective,post_audit_phrase_vs_adjective_fix,post_audit_v2,done
