batch_id,batch_seq,entry_id,headword,headword_norm,meaning_ja_short,pos_current,pos_label_ja,pos_secondary,pos_candidates,pos_confidence,pos_score_margin,is_multi_pos,pos_evidence,stage,stage_label,grade_bucket_default_label,grade_bucket_standard_label,source_count,source_books,review_priority,review_score,review_reason,jp_hint_pos,jp_hint_pos_label_ja,suggested_pos_auto,suggested_pos_auto_label_ja,suggested_reason,decision_pos,decision_pos_label_ja,decision_reason,reviewer,status,prefill_rule,is_prefilled,global_rank
BATCH_06,6,WB002757,valley,valley,谷、流域,noun,名詞,,noun:9,45,446.85,False,fallback_noun,1,JHS_Foundation,中3発展,高1基礎(標準),9,DUO3.0 | チャンクで英単語 Standard 第2版 | ユメタン黄 | 英単語Stock4500 | 英単語ターゲット1200 改訂版 | 英単語ターゲット1400 5訂版 | 英検 2級 でる順パス単 5訂版 | 英検 準2級 プラス 重要度順パス単 | 速読英単語 必修編,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,1296
BATCH_06,6,WB002759,wild,wild,野生の,noun,名詞,,noun:9,45,477.45,False,fallback_noun,1,JHS_Foundation,中3発展,中3発展(標準),9,システム英単語 BASIC 5訂版 | ユメタン黄 | 英単語Stock3000 | 英単語ターゲット1200 改訂版 | 英単語ターゲット1400 5訂版 | 英検 3級 でる順パス単 5訂版 | 英検 準2級 でる順パス単 5訂版 | 速読英単語 中学版 改訂版 | 速読英単語 必修編,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,1297
BATCH_06,6,WB000211,alone,alone,一人で,noun,名詞,adjective,noun:6 | adjective:1 | adverb:1,65,339.99,True,meaning_noun_marker,1,JHS_Foundation,中1基礎,中1基礎(標準),8,TOEFLテスト英単語3800 | システム英単語 BASIC 5訂版 | ユメタン黄 | 英単語Stock3000 | 英単語ターゲット1200 改訂版 | 英検 3級 でる順パス単 5訂版 | 英検 準2級 でる順パス単 5訂版 | 速読英単語 中学版 改訂版,MEDIUM,7,mid_confidence(<70) | multi_pos | many_sources_with_conflict,,,,,,noun,名詞,prefill_keep_current_non_fallback:meaning_noun_marker,auto_prefill,done,keep_current_non_fallback,True,1298
BATCH_06,6,WB002205,angle,angle,"観点,見方",noun,名詞,,noun:8,45,387.21,False,fallback_noun,1,JHS_Foundation,中3発展,中3発展(標準),8,コーパス4500 4th Edition | チャンクで英単語 Standard 第2版 | 英単語Stock4500 | 英単語ターゲット1200 改訂版 | 英検 2級 でる順パス単 5訂版 | 英検 準2級 でる順パス単 5訂版 | 英検 準2級 プラス 重要度順パス単 | 速読英単語 必修編,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,1299
BATCH_06,6,WB002179,avenue,avenue,大通り,noun,名詞,,noun:8,45,396.77,False,fallback_noun,1,JHS_Foundation,中3発展,中1基礎(標準),8,コーパス4500 4th Edition | ユメタン黄 | 英単語Stock4500 | 英単語ターゲット1200 改訂版 | 英検 2級 でる順パス単 5訂版 | 英検 準2級 でる順パス単 5訂版 | 英検 準2級 プラス 重要度順パス単 | 速読英単語 必修編,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,1300
BATCH_06,6,WB000284,bank,bank,銀行,noun,名詞,,noun:8,45,415.9,False,fallback_noun,1,JHS_Foundation,中1基礎,中1基礎(標準),8,TOEFLテスト英単語3800 | 英単語Stock3000 | 英単語ターゲット1200 改訂版 | 英検 3級 でる順パス単 5訂版 | 英検 4級 でる順パス単 5訂版 | 英検 5級 でる順パス単 5訂版 | 速読英単語 入門編 改訂第3版 | 速読英単語 必修編,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,1301
BATCH_06,6,WB002229,boss,boss,上司,noun,名詞,,noun:8,45,391.04,False,fallback_noun,1,JHS_Foundation,中3発展,高1基礎(標準),8,DUO3.0 | チャンクで英単語 Standard 第2版 | 英単語Stock4500 | 英検 3級 でる順パス単 5訂版 | 英検 準2級 でる順パス単 5訂版 | 速読英単語 中学版 改訂版 | 速読英単語 必修編 | 鉄緑会 東大英単語熟語 鉄壁,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,1302
BATCH_06,6,WB002293,column,column,コラム記事；円柱,noun,名詞,,noun:8,45,381.47,False,fallback_noun,1,JHS_Foundation,中3発展,高1基礎(標準),8,コーパス4500 4th Edition | システム英単語 5訂版 | チャンクで英単語 Standard 第2版 | ユメタン青 | 英単語Stock3000 | 英単語ターゲット1900 6訂版 | 速読英単語 中学版 改訂版 | 速読英単語 必修編,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,1303
BATCH_06,6,WB000413,dark,dark,暗い、（色が）濃い、黒っぽい,noun,名詞,,noun:8,45,435.02,False,fallback_noun,1,JHS_Foundation,中1基礎,中1基礎(標準),8,システム英単語 BASIC 5訂版 | ユメタン黄 | 英単語Stock3000 | 英単語ターゲット1200 改訂版 | 英検 3級 でる順パス単 5訂版 | 英検 4級 でる順パス単 5訂版 | 速読英単語 中学版 改訂版 | 速読英単語 入門編 改訂第3版,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,1304
BATCH_06,6,WB000422,dessert,dessert,デザート,noun,名詞,,noun:8,45,435.02,False,fallback_noun,1,JHS_Foundation,中1基礎,中1基礎(標準),8,英単語Stock3000 | 英単語ターゲット1200 改訂版 | 英検 3級 でる順パス単 5訂版 | 英検 4級 でる順パス単 5訂版 | 英検 5級 でる順パス単 5訂版 | 英検 準2級 でる順パス単 5訂版 | 速読英単語 中学版 改訂版 | 速読英単語 入門編 改訂第3版,MEDIUM,7,low_confidence(<60) | weak_evidence:fallback_noun,,,,,,noun,名詞,prefill_keep_current_noun_margin1_sources1,auto_prefill,done,keep_current_noun_margin1_sources1,True,1305
